54 3CD	38E	# Tύ => Ύ
54 3CE	38F	# Tώ => Ώ
54 3D7	3CF	# Tϗ => Ϗ
54 3D9	3D8	# Tϙ => Ϙ
54 3DB	3DA	# Tϛ => Ϛ
54 3DD	3DC	# Tϝ => Ϝ
54 3DF	3DE	# Tϟ => Ϟ
54 3E1	3E0	# Tϡ => Ϡ
54 3E3	3E2	# Tϣ => Ϣ
54 3E5	3E4	# Tϥ => Ϥ
54 3E7	3E6	# Tϧ => Ϧ
54 3E9	3E8	# Tϩ => Ϩ
54 3EB	3EA	# Tϫ => Ϫ
54 3ED	3EC	# Tϭ => Ϭ
54 3EF	3EE	# Tϯ => Ϯ
54 3F2	3F9	# Tϲ => Ϲ
54 3F3	37F	# Tϳ => Ϳ
54 3F8	3F7	# Tϸ => Ϸ
54 3FB	3FA	# Tϻ => Ϻ
54 430	410	# Tа => А
54 431	411	# Tб => Б
54 432	412	# Tв => В
54 433	413	# Tг => Г
54 434	414	# Tд => Д
54 435	415	# Tе => Е
54 436	416	# Tж => Ж
54 437	417	# Tз => З
54 438	418	# Tи => И
54 439	419	# Tй => Й
54 43A	41A	# Tк => К
54 43B	41B	# Tл => Л
54 43C	41C	# Tм => М
54 43D	41D	# Tн => Н
54 43E	41E	# Tо => О
54 43F	41F	# Tп => П
54 440	420	# Tр => Р
54 441	421	# Tс => С
54 442	422	# Tт => Т
54 443	423	# Tу => У
54 444	424	# Tф => Ф
54 445	425	# Tх => Х
54 446	426	# Tц => Ц
54 447	427	# Tч => Ч
54 448	428	# Tш => Ш
54 449	429	# Tщ => Щ
54 44A	42A	# Tъ => Ъ
54 44B	42B	# Tы => Ы
54 44C	42C	# Tь => Ь
54 44D	42D	# Tэ => Э
54 44E	42E	# Tю => Ю
54 44F	42F	# Tя => Я
54 450	400	# Tѐ => Ѐ
54 451	401	# Tё => Ё
54 452	402	# Tђ => Ђ
54 453	403	# Tѓ => Ѓ
54 454	404	# Tє => Є
54 455	405	# Tѕ => Ѕ
54 456	406	# Tі => І
54 457	407	# Tї => Ї
54 458	408	# Tј => Ј
54 459	409	# Tљ => Љ
54 45A	40A	# Tњ => Њ
54 45B	40B	# Tћ => Ћ
54 45C	40C	# Tќ => Ќ
54 45D	40D	# Tѝ => Ѝ
54 45E	40E	# Tў => Ў
54 45F	40F	# Tџ => Џ
54 461	460	# Tѡ => Ѡ
54 463	462	# Tѣ => Ѣ
54 465	464	# Tѥ => Ѥ
54 467	466	# Tѧ => Ѧ
54 469	468	# Tѩ => Ѩ
54 46B	46A	# Tѫ => Ѫ
54 46D	46C	# Tѭ => Ѭ
54 46F	46E	# Tѯ => Ѯ
54 471	470	# Tѱ => Ѱ
54 473	472	# Tѳ => Ѳ
54 475	474	# Tѵ => Ѵ
54 477	476	# Tѷ => Ѷ
54 479	478	# Tѹ => Ѹ
54 47B	47A	# Tѻ => Ѻ
54 47D	47C	# Tѽ => Ѽ
54 47F	47E	# Tѿ => Ѿ
54 481	480	# Tҁ => Ҁ
54 48B	48A	# Tҋ => Ҋ
54 48D	48C	# Tҍ => Ҍ
54 48F	48E	# Tҏ => Ҏ
54 491	490	# Tґ => Ґ
54 493	492	# Tғ => Ғ
54 495	494	# Tҕ => Ҕ
54 497	496	# Tҗ => Җ
54 499	498	# Tҙ => Ҙ
54 49B	49A	# Tқ => Қ
54 49D	49C	# Tҝ => Ҝ
54 49F	49E	# Tҟ => Ҟ
54 4A1	4A0	# Tҡ => Ҡ
54 4A3	4A2	# Tң => Ң
54 4A5	4A4	# Tҥ => Ҥ
54 4A7	4A6	# Tҧ => Ҧ
54 4A9	4A8	# Tҩ => Ҩ
54 4AB	4AA	# Tҫ => Ҫ
54 4AD	4AC	# Tҭ => Ҭ
54 4AF	4AE	# Tү => Ү
54 4B1	4B0	# Tұ => Ұ
54 4B3	4B2	# Tҳ => Ҳ
54 4B5	4B4	# Tҵ => Ҵ
54 4B7	4B6	# Tҷ => Ҷ
54 4B9	4B8	# Tҹ => Ҹ
54 4BB	4BA	# Tһ => Һ
54 4BD	4BC	# Tҽ => Ҽ
54 4BF	4BE	# Tҿ => Ҿ
54 4C2	4C1	# Tӂ => Ӂ
54 4C4	4C3	# Tӄ => Ӄ
54 4C6	4C5	# Tӆ => Ӆ
54 4C8	4C7	# Tӈ => Ӈ
54 4CA	4C9	# Tӊ => Ӊ
54 4CC	4CB	# Tӌ => Ӌ
54 4CE	4CD	# Tӎ => Ӎ
54 4CF	4C0	# Tӏ => Ӏ
54 4D1	4D0	# Tӑ => Ӑ
54 4D3	4D2	# Tӓ => Ӓ
54 4D5	4D4	# Tӕ => Ӕ
54 4D7	4D6	# Tӗ => Ӗ
54 4D9	4D8	# Tә => Ә
54 4DB	4DA	# Tӛ => Ӛ
54 4DD	4DC	# Tӝ => Ӝ
54 4DF	4DE	# Tӟ => Ӟ
54 4E1	4E0	# Tӡ => Ӡ
54 4E3	4E2	# Tӣ => Ӣ
54 4E5	4E4	# Tӥ => Ӥ
54 4E7	4E6	# Tӧ => Ӧ
54 4E9	4E8	# Tө => Ө
54 4EB	4EA	# Tӫ => Ӫ
54 4ED	4EC	# Tӭ => Ӭ
54 4EF	4EE	# Tӯ => Ӯ
54 4F1	4F0	# Tӱ => Ӱ
54 4F3	4F2	# Tӳ => Ӳ
54 4F5	4F4	# Tӵ => Ӵ
54 4F7	4F6	# Tӷ => Ӷ
54 4F9	4F8	# Tӹ => Ӹ
54 4FB	4FA	# Tӻ => Ӻ
54 4FD	4FC	# Tӽ => Ӽ
54 4FF	4FE	# Tӿ => Ӿ
54 501	500	# Tԁ => Ԁ
54 503	502	# Tԃ => Ԃ
54 505	504	# Tԅ => Ԅ
54 507	506	# Tԇ => Ԇ
54 509	508	# Tԉ => Ԉ
54 50B	50A	# Tԋ => Ԋ
54 50D	50C	# Tԍ => Ԍ
54 50F	50E	# Tԏ => Ԏ
54 511	510	# Tԑ => Ԑ
54 513	512	# Tԓ => Ԓ
54 515	514	# Tԕ => Ԕ
54 517	516	# Tԗ => Ԗ
54 519	518	# Tԙ => Ԙ
54 51B	51A	# Tԛ => Ԛ
54 51D	51C	# Tԝ => Ԝ
54 51F	51E	# Tԟ => Ԟ
54 521	520	# Tԡ => Ԡ
54 523	522	# Tԣ => Ԣ
54 525	524	# Tԥ => Ԥ
54 527	526	# Tԧ => Ԧ
54 529	528	# Tԩ => Ԩ
54 52B	52A	# Tԫ => Ԫ
54 52D	52C	# Tԭ => Ԭ
54 52F	52E	# Tԯ => Ԯ
54 561	531	# Tա => Ա
54 562	532	# Tբ => Բ
54 563	533	# Tգ => Գ
54 564	534	# Tդ => Դ
54 565	535	# Tե => Ե
54 566	536	# Tզ => Զ
54 567	537	# Tէ => Է
54 568	538	# Tը => Ը
54 569	539	# Tթ => Թ
54 56A	53A	# Tժ => Ժ
54 56B	53B	# Tի => Ի
54 56C	53C	# Tլ => Լ
54 56D	53D	# Tխ => Խ
54 56E	53E	# Tծ => Ծ
54 56F	53F	# Tկ => Կ
54 570	540	# Tհ => Հ
54 571	541	# Tձ => Ձ
54 572	542	# Tղ => Ղ
54 573	543	# Tճ => Ճ
54 574	544	# Tմ => Մ
54 575	545	# Tյ => Յ
54 576	546	# Tն => Ն
54 577	547	# Tշ => Շ
54 578	548	# Tո => Ո
54 579	549	# Tչ => Չ
54 57A	54A	# Tպ => Պ
54 57B	54B	# Tջ => Ջ
54 57C	54C	# Tռ => Ռ
54 57D	54D	# Tս => Ս
54 57E	54E	# Tվ => Վ
54 57F	54F	# Tտ => Տ
54 580	550	# Tր => Ր
54 581	551	# Tց => Ց
54 582	552	# Tւ => Ւ
54 583	553	# Tփ => Փ
54 584	554	# Tք => Ք
54 585	555	# Tօ => Օ
54 586	556	# Tֆ => Ֆ
54 10D0	1C90	# Tა => Ა
54 10D1	1C91	# Tბ => Ბ
54 10D2	1C92	# Tგ => Გ
54 10D3	1C93	# Tდ => Დ
54 10D4	1C94	# Tე => Ე
54 10D5	1C95	# Tვ => Ვ
54 10D6	1C96	# Tზ => Ზ
54 10D7	1C97	# Tთ => Თ
54 10D8	1C98	# Tი => Ი
54 10D9	1C99	# Tკ => Კ
54 10DA	1C9A	# Tლ => Ლ
54 10DB	1C9B	# Tმ => Მ
54 10DC	1C9C	# Tნ => Ნ
54 10DD	1C9D	# Tო => Ო
54 10DE	1C9E	# Tპ => Პ
54 10DF	1C9F	# Tჟ => Ჟ
54 10E0	1CA0	# Tრ => Რ
54 10E1	1CA1	# Tს => Ს
54 10E2	1CA2	# Tტ => Ტ
54 10E3	1CA3	# Tუ => Უ
54 10E4	1CA4	# Tფ => Ფ
54 10E5	1CA5	# Tქ => Ქ
54 10E6	1CA6	# Tღ => Ღ
54 10E7	1CA7	# Tყ => Ყ
54 10E8	1CA8	# Tშ => Შ
54 10E9	1CA9	# Tჩ => Ჩ
54 10EA	1CAA	# Tც => Ც
54 10EB	1CAB	# Tძ => Ძ
54 10EC	1CAC	# Tწ => Წ
54 10ED	1CAD	# Tჭ => Ჭ
54 10EE	1CAE	# Tხ => Ხ
54 10EF	1CAF	# Tჯ => Ჯ
54 10F0	1CB0	# Tჰ => Ჰ
54 10F1	1CB1	# Tჱ => Ჱ
54 10F2	1CB2	# Tჲ => Ჲ
54 10F3	1CB3	# Tჳ => Ჳ
54 10F4	1CB4	# Tჴ => Ჴ
54 10F5	1CB5	# Tჵ => Ჵ
54 10F6	1CB6	# Tჶ => Ჶ
54 10F7	1CB7	# Tჷ => Ჷ
54 10F8	1CB8	# Tჸ => Ჸ
54 10F9	1CB9	# Tჹ => Ჹ
54 10FA	1CBA	# Tჺ => Ჺ
54 10FD	1CBD	# Tჽ => Ჽ
54 10FE	1CBE	# Tჾ => Ჾ
54 10FF	1CBF	# Tჿ => Ჿ
54 1C8A	1C89	# Tᲊ => Ᲊ
54 1D79	A77D	# Tᵹ => Ᵹ
54 1D7D	2C63	# Tᵽ => Ᵽ
54 1D8E	A7C6	# Tᶎ => Ᶎ
54 1E01	1E00	# Tḁ => Ḁ
54 1E03	1E02	# Tḃ => Ḃ
54 1E05	1E04	# Tḅ => Ḅ
54 1E07	1E06	# Tḇ => Ḇ
54 1E09	1E08	# Tḉ => Ḉ
54 1E0B	1E0A	# Tḋ => Ḋ
54 1E0D	1E0C	# Tḍ => Ḍ
54 1E0F	1E0E	# Tḏ => Ḏ
54 1E11	1E10	# Tḑ => Ḑ
54 1E13	1E12	# Tḓ => Ḓ
54 1E15	1E14	# Tḕ => Ḕ
54 1E17	1E16	# Tḗ => Ḗ
54 1E19	1E18	# Tḙ => Ḙ
54 1E1B	1E1A	# Tḛ => Ḛ
54 1E1D	1E1C	# Tḝ => Ḝ
54 1E1F	1E1E	# Tḟ => Ḟ
54 1E21	1E20	# Tḡ => Ḡ
54 1E23	1E22	# Tḣ => Ḣ
54 1E25	1E24	# Tḥ => Ḥ
54 1E27	1E26	# Tḧ => Ḧ
54 1E29	1E28	# Tḩ => Ḩ
54 1E2B	1E2A	# Tḫ => Ḫ
54 1E2D	1E2C	# Tḭ => Ḭ
54 1E2F	1E2E	# Tḯ => Ḯ
54 1E31	1E30	# Tḱ => Ḱ
54 1E33	1E32	# Tḳ => Ḳ
54 1E35	1E34	# Tḵ => Ḵ
54 1E37	1E36	# Tḷ => Ḷ
54 1E39	1E38	# Tḹ => Ḹ
54 1E3B	1E3A	# Tḻ => Ḻ
54 1E3D	1E3C	# Tḽ => Ḽ
54 1E3F	1E3E	# Tḿ => Ḿ
54 1E41	1E40	# Tṁ => Ṁ
54 1E43	1E42	# Tṃ => Ṃ
54 1E45	1E44	# Tṅ => Ṅ
54 1E47	1E46	# Tṇ => Ṇ
54 1E49	1E48	# Tṉ => Ṉ
54 1E4B	1E4A	# Tṋ => Ṋ
54 1E4D	1E4C	# Tṍ => Ṍ
54 1E4F	1E4E	# Tṏ => Ṏ
54 1E51	1E50	# Tṑ => Ṑ
54 1E53	1E52	# Tṓ => Ṓ
54 1E55	1E54	# Tṕ => Ṕ
54 1E57	1E56	# Tṗ => Ṗ
54 1E59	1E58	# Tṙ => Ṙ
54 1E5B	1E5A	# Tṛ => Ṛ
54 1E5D	1E5C	# Tṝ => Ṝ
54 1E5F	1E5E	# Tṟ => Ṟ
54 1E61	1E60	# Tṡ => Ṡ
54 1E63	1E62	# Tṣ => Ṣ
54 1E65	1E64	# Tṥ => Ṥ
54 1E67	1E66	# Tṧ => Ṧ
54 1E69	1E68	# Tṩ => Ṩ
54 1E6B	1E6A	# Tṫ => Ṫ
54 1E6D	1E6C	# Tṭ => Ṭ
54 1E6F	1E6E	# Tṯ => Ṯ
54 1E71	1E70	# Tṱ => Ṱ
54 1E73	1E72	# Tṳ => Ṳ
54 1E75	1E74	# Tṵ => Ṵ
54 1E77	1E76	# Tṷ => Ṷ
54 1E79	1E78	# Tṹ => Ṹ
