3F4	55 3B8	# ϴ => Uθ
3F7	55 3F8	# Ϸ => Uϸ
3F9	55 3F2	# Ϲ => Uϲ
3FA	55 3FB	# Ϻ => Uϻ
3FD	55 37B	# Ͻ => Uͻ
3FE	55 37C	# Ͼ => Uͼ
3FF	55 37D	# Ͽ => Uͽ
400	55 450	# Ѐ => Uѐ
401	55 451	# Ё => Uё
402	55 452	# Ђ => Uђ
403	55 453	# Ѓ => Uѓ
404	55 454	# Є => Uє
405	55 455	# Ѕ => Uѕ
406	55 456	# І => Uі
407	55 457	# Ї => Uї
408	55 458	# Ј => Uј
409	55 459	# Љ => Uљ
40A	55 45A	# Њ => Uњ
40B	55 45B	# Ћ => Uћ
40C	55 45C	# Ќ => Uќ
40D	55 45D	# Ѝ => Uѝ
40E	55 45E	# Ў => Uў
40F	55 45F	# Џ => Uџ
410	55 430	# А => Uа
411	55 431	# Б => Uб
412	55 432	# В => Uв
413	55 433	# Г => Uг
414	55 434	# Д => Uд
415	55 435	# Е => Uе
416	55 436	# Ж => Uж
417	55 437	# З => Uз
418	55 438	# И => Uи
419	55 439	# Й => Uй
41A	55 43A	# К => Uк
41B	55 43B	# Л => Uл
41C	55 43C	# М => Uм
41D	55 43D	# Н => Uн
41E	55 43E	# О => Uо
41F	55 43F	# П => Uп
420	55 440	# Р => Uр
421	55 441	# С => Uс
422	55 442	# Т => Uт
423	55 443	# У => Uу
424	55 444	# Ф => Uф
425	55 445	# Х => Uх
426	55 446	# Ц => Uц
427	55 447	# Ч => Uч
428	55 448	# Ш => Uш
429	55 449	# Щ => Uщ
42A	55 44A	# Ъ => Uъ
42B	55 44B	# Ы => Uы
42C	55 44C	# Ь => Uь
42D	55 44D	# Э => Uэ
42E	55 44E	# Ю => Uю
42F	55 44F	# Я => Uя
460	55 461	# Ѡ => Uѡ
462	55 463	# Ѣ => Uѣ
464	55 465	# Ѥ => Uѥ
466	55 467	# Ѧ => Uѧ
468	55 469	# Ѩ => Uѩ
46A	55 46B	# Ѫ => Uѫ
46C	55 46D	# Ѭ => Uѭ
46E	55 46F	# Ѯ => Uѯ
470	55 471	# Ѱ => Uѱ
472	55 473	# Ѳ => Uѳ
474	55 475	# Ѵ => Uѵ
476	55 477	# Ѷ => Uѷ
478	55 479	# Ѹ => Uѹ
47A	55 47B	# Ѻ => Uѻ
47C	55 47D	# Ѽ => Uѽ
47E	55 47F	# Ѿ => Uѿ
480	55 481	# Ҁ => Uҁ
48A	55 48B	# Ҋ => Uҋ
48C	55 48D	# Ҍ => Uҍ
48E	55 48F	# Ҏ => Uҏ
490	55 491	# Ґ => Uґ
492	55 493	# Ғ => Uғ
494	55 495	# Ҕ => Uҕ
496	55 497	# Җ => Uҗ
498	55 499	# Ҙ => Uҙ
49A	55 49B	# Қ => Uқ
49C	55 49D	# Ҝ => Uҝ
49E	55 49F	# Ҟ => Uҟ
4A0	55 4A1	# Ҡ => Uҡ
4A2	55 4A3	# Ң => Uң
4A4	55 4A5	# Ҥ => Uҥ
4A6	55 4A7	# Ҧ => Uҧ
4A8	55 4A9	# Ҩ => Uҩ
4AA	55 4AB	# Ҫ => Uҫ
4AC	55 4AD	# Ҭ => Uҭ
4AE	55 4AF	# Ү => Uү
4B0	55 4B1	# Ұ => Uұ
4B2	55 4B3	# Ҳ => Uҳ
4B4	55 4B5	# Ҵ => Uҵ
4B6	55 4B7	# Ҷ => Uҷ
4B8	55 4B9	# Ҹ => Uҹ
4BA	55 4BB	# Һ => Uһ
4BC	55 4BD	# Ҽ => Uҽ
4BE	55 4BF	# Ҿ => Uҿ
4C0	55 4CF	# Ӏ => Uӏ
4C1	55 4C2	# Ӂ => Uӂ
4C3	55 4C4	# Ӄ => Uӄ
4C5	55 4C6	# Ӆ => Uӆ
4C7	55 4C8	# Ӈ => Uӈ
4C9	55 4CA	# Ӊ => Uӊ
4CB	55 4CC	# Ӌ => Uӌ
4CD	55 4CE	# Ӎ => Uӎ
4D0	55 4D1	# Ӑ => Uӑ
4D2	55 4D3	# Ӓ => Uӓ
4D4	55 4D5	# Ӕ => Uӕ
4D6	55 4D7	# Ӗ => Uӗ
4D8	55 4D9	# Ә => Uә
4DA	55 4DB	# Ӛ => Uӛ
4DC	55 4DD	# Ӝ => Uӝ
4DE	55 4DF	# Ӟ => Uӟ
4E0	55 4E1	# Ӡ => Uӡ
4E2	55 4E3	# Ӣ => Uӣ
4E4	55 4E5	# Ӥ => Uӥ
4E6	55 4E7	# Ӧ => Uӧ
4E8	55 4E9	# Ө => Uө
4EA	55 4EB	# Ӫ => Uӫ
4EC	55 4ED	# Ӭ => Uӭ
4EE	55 4EF	# Ӯ => Uӯ
4F0	55 4F1	# Ӱ => Uӱ
4F2	55 4F3	# Ӳ => Uӳ
4F4	55 4F5	# Ӵ => Uӵ
4F6	55 4F7	# Ӷ => Uӷ
4F8	55 4F9	# Ӹ => Uӹ
4FA	55 4FB	# Ӻ => Uӻ
4FC	55 4FD	# Ӽ => Uӽ
4FE	55 4FF	# Ӿ => Uӿ
500	55 501	# Ԁ => Uԁ
502	55 503	# Ԃ => Uԃ
504	55 505	# Ԅ => Uԅ
506	55 507	# Ԇ => Uԇ
508	55 509	# Ԉ => Uԉ
50A	55 50B	# Ԋ => Uԋ
50C	55 50D	# Ԍ => Uԍ
50E	55 50F	# Ԏ => Uԏ
510	55 511	# Ԑ => Uԑ
512	55 513	# Ԓ => Uԓ
514	55 515	# Ԕ => Uԕ
516	55 517	# Ԗ => Uԗ
518	55 519	# Ԙ => Uԙ
51A	55 51B	# Ԛ => Uԛ
51C	55 51D	# Ԝ => Uԝ
51E	55 51F	# Ԟ => Uԟ
520	55 521	# Ԡ => Uԡ
522	55 523	# Ԣ => Uԣ
524	55 525	# Ԥ => Uԥ
526	55 527	# Ԧ => Uԧ
528	55 529	# Ԩ => Uԩ
52A	55 52B	# Ԫ => Uԫ
52C	55 52D	# Ԭ => Uԭ
52E	55 52F	# Ԯ => Uԯ
531	55 561	# Ա => Uա
532	55 562	# Բ => Uբ
533	55 563	# Գ => Uգ
534	55 564	# Դ => Uդ
535	55 565	# Ե => Uե
536	55 566	# Զ => Uզ
537	55 567	# Է => Uէ
538	55 568	# Ը => Uը
539	55 569	# Թ => Uթ
53A	55 56A	# Ժ => Uժ
53B	55 56B	# Ի => Uի
53C	55 56C	# Լ => Uլ
53D	55 56D	# Խ => Uխ
53E	55 56E	# Ծ => Uծ
53F	55 56F	# Կ => Uկ
540	55 570	# Հ => Uհ
541	55 571	# Ձ => Uձ
542	55 572	# Ղ => Uղ
543	55 573	# Ճ => Uճ
544	55 574	# Մ => Uմ
545	55 575	# Յ => Uյ
546	55 576	# Ն => Uն
547	55 577	# Շ => Uշ
548	55 578	# Ո => Uո
549	55 579	# Չ => Uչ
54A	55 57A	# Պ => Uպ
54B	55 57B	# Ջ => Uջ
54C	55 57C	# Ռ => Uռ
54D	55 57D	# Ս => Uս
54E	55 57E	# Վ => Uվ
54F	55 57F	# Տ => Uտ
550	55 580	# Ր => Uր
